,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS
Craig Biggio,10876,1844,3060,668,55,291,1175,414,124,1160,1753,0.281,0.363,0.433,0.7959999999999999
Lance Berkman,6491,1146,1905,422,30,366,1234,86,48,1201,1300,0.293,0.406,0.537,0.943
Todd Helton,7962,1401,2519,592,37,369,1406,37,29,1335,1175,0.316,0.414,0.539,0.953
Juan Pierre,7525,1075,2217,255,94,18,517,614,203,464,479,0.295,0.34299999999999997,0.361,0.7040000000000001
Kevin Youkilis,3749,653,1053,254,18,150,618,26,14,539,828,0.281,0.382,0.478,0.861
Michael Young,7918,1137,2375,441,60,185,1030,90,30,575,1235,0.3,0.34600000000000003,0.441,0.787
